gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,IIM_A,IIM_B,IIM_C,IIM_I,IIM_K,IIM_L
Male,General,95,92.8,75.6,Non-Engineer,92.14,0,0,0,0,0,0,0
Female,General,94.5,94.2,80.9,Non-Engineer,92.83,0,0,0,0,0,0,0
Female,General,95,95.6,80.7,Engineer,97.24,14,0,0,0,0,0,0
Male,EWS,93,93.8,75.4,Non-Engineer,75.63,0,0,0,0,0,0,0
Male,General,83.5,76.5,78.4,Non-Engineer,95.45,0,0,0,0,0,0,0
Male,SC,84.2,63.9,56,Engineer,69.13,1,0,0,0,0,0,0
Male,General,95.9,92.7,79.7,Non-Engineer,92.98,0,0,0,0,0,0,0
Male,General,91.1,80,64.5,Engineer,93.73,34,0,0,0,0,0,0
Female,General,90,94.4,78,Engineer,93.26,15,0,1,0,0,1,0
Male,SC,70.4,74.7,64.4,Engineer,65.07,38,0,0,0,0,0,0
Female,General,98,81.4,77.5,Engineer,94.83,30,0,0,0,0,1,0
Male,General,94.6,93.5,77.1,Engineer,84.79,25,0,0,0,0,0,0
Male,General,91.6,90.8,88.8,Engineer,99.34,26,1,0,0,0,0,0
Male,General,85.5,85.3,81.5,Non-Engineer,88.58,0,0,0,0,0,0,0
Male,General,95,96.2,86.9,Engineer,99.21,37,1,1,0,1,0,0
Female,General,90.1,83.5,80.9,Non-Engineer,94.09,17,0,0,0,0,0,0
Female,General,95,93.4,73.2,Non-Engineer,96.08,25,0,0,0,1,1,0
Female,SC,89.5,75.5,59.4,Engineer,68.95,26,0,0,0,0,0,0
Male,General,95,98,89.3,Engineer,98.35,0,0,0,0,0,0,0
Male,NC_OBC,72.2,80.4,70.8,Non-Engineer,94,0,0,0,0,0,0,0
Female,General,95,92.6,76.5,Engineer,91.42,25,0,0,0,0,0,0
Male,NC_OBC,95,64.2,73.3,Non-Engineer,95.96,19,0,0,0,0,1,0
Male,General,83.7,63.8,77.9,Engineer,95.87,25,0,0,0,0,0,0
Male,General,95,94.6,84.8,Engineer,94.66,13,0,0,0,1,0,0
Male,General,78.3,73.5,60,Engineer,98.73,31,0,0,0,0,0,0
Female,General,85.6,74.8,78,Engineer,50.94,32,0,0,0,0,0,0
Male,General,95,90.8,80.7,Engineer,99.87,25,1,0,1,0,1,0
Male,NC_OBC,91.1,86.3,88.5,Non-Engineer,83.55,28,1,0,0,0,1,0
Male,General,91.3,93.8,70.8,Engineer,99.34,1,0,0,0,0,0,0
Male,General,85.5,74.2,77,Non-Engineer,94.17,0,0,0,0,0,0,0
Female,SC,87.4,65.6,62.5,Engineer,83.4,0,0,0,0,0,0,0
Male,General,83.5,87.8,75.9,Engineer,99.49,23,0,1,1,0,1,1
Male,General,95,96.4,84.2,Engineer,98.56,13,0,0,0,0,0,0
Female,General,93,95.8,67.3,Non-Engineer,92.86,23,0,0,0,1,1,1
Male,EWS,93.2,95.4,80,Non-Engineer,87.23,0,0,0,0,0,0,0
Male,NC_OBC,88.9,74.5,71.1,Engineer,94.96,34,0,0,0,0,0,1
Male,General,95,89.6,80.6,Engineer,97.07,13,0,0,0,0,0,0
Male,General,91.1,90.2,76.8,Non-Engineer,99.66,24,1,0,0,0,0,0
Female,General,92.4,91.9,69.6,Non-Engineer,80.56,22,0,0,0,0,0,0
Male,General,85.5,88.6,77,Engineer,94.29,0,0,0,0,0,0,0
Female,SC,89.3,68.6,73.8,Engineer,99.12,1,1,1,1,1,1,1
Female,General,78,79.6,57.1,Non-Engineer,88.41,0,0,0,0,0,0,0
Male,General,91.5,85.1,64.4,Non-Engineer,98.89,17,0,0,0,0,1,0
Male,General,81.7,76,79,Engineer,55.27,0,0,0,0,0,0,0
Female,General,72.2,80,68,Non-Engineer,93.61,0,0,0,0,0,0,0
Female,General,95.2,91.1,94,Non-Engineer,91.48,0,0,1,0,1,0,0
Male,General,90.5,86.2,76,Engineer,99.45,25,0,0,0,0,0,1
Female,General,91.7,85.2,68.5,Engineer,83.09,24,0,0,0,0,0,0
